Bankleitzahl,Bezeichnung,BIC
10000000,Bundesbank,MARKDEF1100
10010010,Postbank,PBNKDEFF100
10010111,SEB,ESSEDE5F100
10010222,The Royal Bank of Scotland Niederlassung Frankfurt,ABNADEFFBER
10010424,Aareal Bank,AARBDE5W100
10019610,Dexia Kommunalbank Deutschland,DXIADEBBXXX
10020200,BHF-BANK,BHFBDEFF100
10020500,Bank für Sozialwirtschaft,BFSWDE33BER
10020890,UniCredit Bank - HypoVereinsbank,HYVEDEMM488
10020890,UniCredit Bank - HypoVereinsbank,HYVEDEMM488
10020890,UniCredit Bank - HypoVereinsbank,HYVEDEMM488
10020890,UniCredit Bank - HypoVereinsbank,HYVEDEMM488
10020890,UniCredit Bank - HypoVereinsbank,HYVEDEMM488
10020890,UniCredit Bank - HypoVereinsbank,HYVEDEMM488
10030200,Berlin-Hannoversche Hypothekenbank,BHYPDEB2XXX
10030400,ABK-Kreditbank,ABKBDEB1XXX
10030500,Bankhaus Löbbecke,LOEBDEBBXXX
10030600,North Channel Bank,GENODEF1OGK
10030700,Eurocity Bank,DLGHDEB1XXX
10033300,Santander Consumer Bank,SCFBDE33XXX
10040000,Commerzbank Berlin (West),COBADEBBXXX
10040010,"Commerzbank, CC SP",COBADEFFS01
10040048,Commerzbank GF-B48,COBADEFF910
10040060,Commerzbank Gf 160,COBADEFF060
10040061,Commerzbank Gf 161,COBADEFF061
10040062,Commerzbank CC,COBADEFF102
10040063,Commerzbank CC,COBADEFF103
10040085,"Commerzbank, Gf Web-K",COBADEFFINT
10045050,Commerzbank Service-BZ,COBADEFFBZB
10050000,Landesbank Berlin - Berliner Sparkasse,BELADEBEXXX
10050005,Landesbank Berlin - E 1 -,BELADEB1DB5
10050006,Landesbank Berlin - E 2 -,BELADEB1DB6
10050007,Landesbank Berlin - E 3 -,BELADEB1DB7
10050008,Landesbank Berlin - E 4 -,BELADEB1DB8
10050020,"LBB S-Kreditpartner, Berlin",SKPADEB1XXX
10050021,LBB S-Kreditpartner Bad Homburg v d Höhe,SKPADEB1HOM
10050500,LBS Ost Berlin,LBSODEB1BLN
10050600,Landesbank Hessen-Thüringen Girozentrale NL. Düsseldorf,WELADEBBXXX
10050999,DekaBank Berlin,DGZFDEFFBER
10060198,Pax-Bank,GENODED1PA6
10060237,Evangelische Darlehnsgenossenschaft,GENODEF1EDG
10061006,Bank für Kirche und Diakonie - KD-Bank Gf Sonder-BLZ,GENODED1KDB
10070000,Deutsche Bank Fil Berlin,DEUTDEBBXXX
10070000,Deutsche Bank Fil Berlin Gf P2,
10070000,Deutsche Bank Fil Berlin Gf P2,
10070024,Deutsche Bank Privat und Geschäftskunden F 700,DEUTDEDBBER
10070024,Deutsche Bank Privat und Geschäftskunden F 700 Gf P2,
10070024,Deutsche Bank Privat und Geschäftskunden F 700 Gf P2,
